basisOfRecord,catalogNumber,catalogue_id,changed,collectionCode,collector,coordinateUncertaintyText,coordinateuncertaintyinmeters,country,county,eventDate,identifiedBy,institutionCode,latitude,locality,longitude,occurrenceDetails,occurrenceRemarks,recordSource,scientificname,stateProvince,verbatimElevation
,,user_73,,,,,,,,,,,-7.25,,-78.38,,Note,Added by user,"",,
,,user_74,,,,,,,,,,,-16.7,,-68,,Note,Added by user,"",,
,,user_75,,,,,,,,,,,-16.9,,-67.9,,Note,Added by user,"",,
,,user_76,,,,,,,,,,,-16.5,,-68.1,,Note,Added by user,"",,
,,user_77,,,,,,,,,,,-0.1,,-78.4,,Note,Added by user,"",,
,,user_78,,,,,,,,,,,-13.35,,-72.07,,Note,Added by user,"",,
,,user_79,,,,,,,,,,,-19,,-65,,Note,Added by user,"",,
,,user_80,,,,,,,,,,,-35.5,,-71.17,,Note,Added by user,"",,
,,user_81,,,,,,,,,,,-29.78,,-71.32,,Note,Added by user,"",,
,,user_82,,,,,,,,,,,-35.5,,-71.17,,Note,Added by user,"",,
,,user_83,,,,,,,,,,,-13.27,,-72.07,,Note,Added by user,"",,
,,user_84,,,,,,,,,,,-0.02,,-78.32,,Note,Added by user,"",,
,,user_85,,,,,,,,,,,-9.97,,-77.22,,Note,Added by user,"",,
,,user_86,,,,,,,,,,,-11.67,,-75.75,,Note,Added by user,"",,
,,user_87,,,,,,,,,,,-8.98,,-77.63,,Note,Added by user,"",,
,,user_88,,,,,,,,,,,-6.77,,-79.83,,Note,Added by user,"",,
,,user_89,,,,,,,,,,,-1.47,,-78.87,,Note,Added by user,"",,
,,user_90,,,,,,,,,,,0.3,,-78.37,,Note,Added by user,"",,
,,user_91,,,,,,,,,,,-3.42,,-79.15,,Note,Added by user,"",,
,,user_92,,,,,,,,,,,-13.33,,-71.92,,Note,Added by user,"",,
,,user_93,,,,,,,,,,,-13.35,,-72.07,,Note,Added by user,"",,
,,user_94,,,,,,,,,,,-12.07,,-75.23,,Note,Added by user,"",,
,,user_95,,,,,,,,,,,-6.05,,-77.92,,Note,Added by user,"",,
,,user_96,,,,,,,,,,,-0.07,,-78.37,,Note,Added by user,"",,
,,user_97,,,,,,,,,,,-9.08,,-77.68,,Note,Added by user,"",,
,,user_98,,,,,,,,,,,-9.37,,-77.42,,Note,Added by user,"",,
,,user_99,,,,,,,,,,,-9.12,,-77.52,,Note,Added by user,"",,
,,user_100,,,,,,,,,,,-13.83,,-72.42,,Note,Added by user,"",,
,,user_101,,,,,,,,,,,-7.55,,-78.15,,Note,Added by user,"",,
,,user_102,,,,,,,,,,,-11.93,,-75.93,,Note,Added by user,"",,
,,user_103,,,,,,,,,,,-6.77,,-79.83,,Note,Added by user,"",,
,,user_104,,,,,,,,,,,-2.15,,-78.87,,Note,Added by user,"",,
,,user_105,,,,,,,,,,,-16.53,,-68.08,,Note,Added by user,"",,
,,user_106,,,,,,,,,,,-8.92,,-77.6,,Note,Added by user,"",,
,,user_107,,,,,,,,,,,-18.33,,-64.58,,Note,Added by user,"",,
,,user_108,,,,,,,,,,,-17.74,,-65.18,,Note,Added by user,"",,
,,user_109,,,,,,,,,,,-16.53,,-68.08,,Note,Added by user,"",,
,,user_110,,,,,,,,,,,-25.83,,-65.57,,Note,Added by user,"",,
,,user_111,,,,,,,,,,,-23.57,,-65.35,,Note,Added by user,"",,
,,user_112,,,,,,,,,,,-2.8,,-79.3,,Note,Added by user,"",,
,,user_113,,,,,,,,,,,-12.42,,-75.75,,Note,Added by user,"",,
,,user_114,,,,,,,,,,,-32.67,,-64.92,,Note,Added by user,"",,
,,user_115,,,,,,,,,,,-6.57,,-77.84,,Note,Added by user,"",,
,,user_116,,,,,,,,,,,-13.48,,-71.93,,Note,Added by user,"",,
,,user_117,,,,,,,,,,,-21.9,,-64.57,,Note,Added by user,"",,
,,user_118,,,,,,,,,,,-21.95,,-65.08,,Note,Added by user,"",,
,,user_119,,,,,,,,,,,-16.9,,-67.6,,Note,Added by user,"",,
,,user_120,,,,,,,,,,,-9.38,,-77.42,,Note,Added by user,"",,
,,user_121,,,,,,,,,,,-16.67,,-68.02,,Note,Added by user,"",,
,,user_122,,,,,,,,,,,-17.57,,-65.67,,Note,Added by user,"",,
,,user_123,,,,,,,,,,,0.43,,-78,,Note,Added by user,"",,
,,user_124,,,,,,,,,,,-17.29,,-66.22,,Note,Added by user,"",,
,,user_125,,,,,,,,,,,-9.92,,-76.23,,Note,Added by user,"",,
,,user_126,,,,,,,,,,,-9.87,,-77.18,,Note,Added by user,"",,
,,user_127,,,,,,,,,,,-16.53,,-68.08,,Note,Added by user,"",,
,,user_128,,,,,,,,,,,-16.65,,-68.07,,Note,Added by user,"",,
,,user_129,,,,,,,,,,,-8.12,,-78.3,,Note,Added by user,"",,
,,user_130,,,,,,,,,,,-13.5,,-71.93,,Note,Added by user,"",,
,,user_131,,,,,,,,,,,-0.48,,-78.17,,Note,Added by user,"",,
,,user_132,,,,,,,,,,,-13.35,,-72.05,,Note,Added by user,"",,
,,user_133,,,,,,,,,,,-16.5,,-68.08,,Note,Added by user,"",,
,,user_134,,,,,,,,,,,-22.83,,-65.25,,Note,Added by user,"",,
,,user_135,,,,,,,,,,,-11.33,,-75.62,,Note,Added by user,"",,
,,user_136,,,,,,,,,,,-11.33,,-76.2,,Note,Added by user,"",,
,,user_137,,,,,,,,,,,-0.07,,-78.35,,Note,Added by user,"",,
,,user_138,,,,,,,,,,,-9,,-77.68,,Note,Added by user,"",,
,,user_139,,,,,,,,,,,0.43,,-77.98,,Note,Added by user,"",,
,,user_140,,,,,,,,,,,0.62,,-78.13,,Note,Added by user,"",,
,,user_141,,,,,,,,,,,0.05,,-78.17,,Note,Added by user,"",,
,,user_142,,,,,,,,,,,-2.79,,-79.21,,Note,Added by user,"",,
,,user_143,,,,,,,,,,,-21.12,,-64.92,,Note,Added by user,"",,
